Label,Description,License,Attribution,Sequence_filename,Sequence_label,Sequence_viewing_experience,unique_identifier,Metadata_label,Metadata_value
CORONATION OF THE VIRGIN,CORONATION OF THE VIRGIN,"<a href=""http://rightsstatements.org/vocab/NoC-US/1.0/"" target=""_blank"">No Copyright - United States</a>",University of Notre Dame::Hesburgh Libraries::General,,Sequence1,individuals,1934.007.001,,
,,,,,,,,Accession Number,1934.007.001
,,,,,,,,Repository,Snite
,,,,,,,,Creator,Anonymous
,,,,,,,,Creation Date,14600101
,,,,,,,,Display Date,ca. 1460
,,,,,,,,Title,CORONATION OF THE VIRGIN
,,,,,,,,Classification,painting
,,,,,,,,Media,"Wood, GILT POLYCHROME"
,,,,,,,,Dimensions,43 in. (109.22 cm)
,,,,,,,,Exhibition,"For Laymen Only: An Examination of Technique Related Images Conservation (04/13/75 - 07/30/75)
Benefactors of the Art Gallery University of Notre Dame(03/17/73 - 04/08/73)
"
,,,,,,,,,
,,,,,,,,Bibliography,"Porter, Dean A., Selected Works from The Snite Museum of Art University of Notre Dame, Notre Dame University, Snite Museum of Art, the University of Notre Dame, Notre Dame, Ind., 1987, 082
Snite Museum of Art, Selected Works: Snite Museum of Art, 2nd. ed., University of Notre Dame, Notre Dame, IN, 2005, 108-109
University of Notre Dame, Benefactors of the Art Gallery University of Notre Dame, The Notre Dame Art Department, University of Notre Dame Press, 1973
University of Notre Dame, A Guide to The Snite Museum of Art, The University of Notre Dame, University of Notre Dame, Notre Dame, IN, 1981-1982, 39
University of Notre Dame, Students of the Art Department, For Laymen Only: an Examination of Technique Related Images Conservation, The Notre Dame Art Department, University of Notre Dame, Notre Dame, IN, 04/30/1975
"
,,,,,,,,,
